SessionId,Exists,Subjectsdo,Treatment,Period,Subject,Group,Profit,TotalProfit,Participate,rnd,rnd2,Rank,PlayedRoleA,PlayedRoleB,PlayedRoleC,TotalPayoff,Role,EarningsAgent,EarningsPrincipal,Example1,Example2,Example3,A1,A2,A3,A4,A5,A6,Q1,Q2,Q3,Q4,Q5,Q6,TimeOKTestOK,TransferIsBounded,TimeOKPrincipalDecisionOK,TransferBounded,TransferUnbounded,TimeOKAgentDecisionOK,TransferActual,Payoff,EarningAgent,EarningPrincipal,TreatmentRun,TimeOKCalculationsOK,TimeOKAnnounceRoundOK,TimeOKAnnounceQuestionsOK,Q1a,Q1b,Q1c,Q2a,Q2b,Q2c,Q3a,Q3b,Q3c,Q4a,Q4b,Q4c,Q5a,Q5b,Q5c,Q6a,Q6b,Q6c,Q7a,Q7b,Q7c,Q8a,Q8b,Q8c,Q9a,Q9b,Q9c,Q10a,Q10b,Q10c,Q11a,Q11b,Q11c,Q12a,Q12b,Q12c,TimeContinueExplanationOK,TimeContinueScenario1OK,TimeContinueScenario2OK,TimeContinueScenario3OK,TimeContinueScenario4OK,TimeContinueScenario5OK,TimeContinueScenario6OK,TimeContinueScenario7OK,TimeContinueScenario8OK,TimeContinueScenario9OK,TimeContinueScenario10OK,TimeContinueScenario11OK,TimeContinueScenario12OK
140429_0920,1,subjects,1,1,1,4,80,80,1,0.266806,0.464753,8,0,1,0,80,2,0,0,22,12,6,98,44,108,24,114,12,98,44,108,24,114,12,99999,1,99999,40,40,0,40,80,0,80,0,0,0,0,4,6,6,6,1,6,5,5,4,5,4,2,5,2,4,2,5,3,6,6,2,5,2,7,1,4,6,5,5,5,3,6,3,5,5,2,99,86,88,90,79,91,90,93,89,85,81,84,87
140429_0920,1,subjects,1,1,2,9,40,40,1,0.204943,0.937956,6,0,1,0,40,2,0,0,22,12,6,98,44,108,24,114,12,98,44,108,24,114,12,99999,1,99999,20,40,0,20,40,0,40,0,-,-,-,3,7,7,7,5,7,5,5,2,4,5,6,6,3,2,4,6,1,6,7,6,5,6,7,2,5,4,6,7,7,5,6,6,7,7,7,106,80,86,84,83,88,88,90,83,85,88,76,89
140429_0920,1,subjects,1,1,3,6,0,0,1,0.4653,0.575311,14,0,1,0,0,2,0,0,22,12,6,98,44,108,24,114,12,98,44,108,24,114,12,99999,0,99999,10,0,0,0,0,0,0,0,-,-,-,5,7,4,7,2,5,7,3,6,7,4,7,5,6,4,5,7,2,7,7,4,7,6,7,3,3,7,7,6,5,2,7,6,7,7,5,113,80,90,80,84,87,92,90,90,89,91,90,77
140429_0920,1,subjects,1,1,4,10,110,110,1,0.016881,0.970671,1,1,0,0,110,1,0,0,22,12,6,98,44,108,24,114,12,98,44,108,24,114,12,99999,1,0,10,10,99999,10,110,110,0,0,-,-,-,1,5,7,7,1,4,6,2,7,7,5,1,7,1,6,1,7,1,7,6,7,5,5,7,3,7,5,5,7,2,4,7,1,7,3,5,115,85,86,87,84,87,92,85,88,81,87,86,84
140429_0920,1,subjects,1,1,5,1,22,22,1,0.061728,0.039351,4,0,1,0,22,2,0,0,22,12,6,98,44,108,24,114,12,98,44,108,24,114,12,99999,0,99999,11,11,0,11,22,0,22,0,-,-,-,6,5,5,6,2,7,4,7,6,5,7,5,5,1,3,7,5,2,3,5,6,7,4,4,3,6,6,7,7,5,4,7,5,6,3,7,106,89,91,90,91,90,91,89,94,87,96,91,94
140429_0920,1,subjects,1,1,6,8,100,100,1,0.058423,0.915705,3,1,0,0,100,1,0,0,22,12,6,98,44,108,24,114,12,98,44,108,24,114,12,99999,1,0,20,20,99999,20,100,100,0,0,-,-,-,4,7,7,7,1,4,7,5,5,7,7,7,7,5,6,6,7,7,7,7,7,7,7,7,2,7,7,3,6,3,5,5,7,7,7,7,106,85,86,90,89,90,90,94,92,88,92,90,93
140429_0920,1,subjects,1,1,7,5,110,110,1,0.294205,0.737339,9,1,0,0,110,1,0,0,22,12,6,98,44,108,24,114,12,98,44,108,24,114,12,99999,1,0,10,0,99999,10,110,110,0,0,-,-,-,2,6,2,2,5,6,3,3,2,6,6,7,5,2,6,1,6,2,6,6,2,5,3,7,4,4,5,5,6,7,1,6,2,7,7,5,106,76,90,74,85,83,90,90,89,85,85,78,74
140429_0920,1,subjects,1,1,8,3,110,110,1,0.819087,0.390196,19,1,0,0,110,1,0,0,22,12,6,98,44,108,24,114,12,98,44,108,24,114,12,99999,0,0,10,10,99999,10,110,110,0,0,-,-,-,2,6,6,6,2,5,5,5,6,6,6,4,7,5,5,3,6,4,6,6,4,4,6,7,5,6,7,6,7,5,5,7,5,7,6,5,107,87,91,88,89,93,94,94,91,92,93,90,90
140429_0920,1,subjects,1,1,9,2,20,20,1,0.655763,0.208904,16,0,1,0,20,2,0,0,22,12,6,98,44,108,24,114,12,98,44,108,24,114,12,99999,1,99999,10,0,0,10,20,0,20,0,-,-,-,1,6,7,6,2,4,1,3,5,4,5,5,5,3,2,1,5,1,5,6,2,6,4,6,4,2,6,4,6,6,6,5,2,6,6,2,89,67,82,85,55,60,71,60,64,30,68,72,81
140429_0920,1,subjects,1,1,10,1,109,109,1,0.254588,0.196321,7,1,0,0,109,1,0,0,22,12,6,98,44,108,24,114,12,98,44,108,24,114,12,99999,0,0,11,11,99999,11,109,109,0,0,-,-,-,4,7,3,7,1,6,7,5,7,6,6,4,5,5,3,5,6,5,6,5,5,2,5,7,3,5,5,5,7,5,4,7,3,6,7,5,101,80,91,89,86,88,91,90,90,90,93,91,90
