Experiment,Location,Treatment,Session,Pair,Subject,Role,x_C,x_NC,x_actual,Payoff,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,1,PSZ1_C10_1_1,Principal,NA,NA,NA,40,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,2,PSZ1_C10_1_3,Principal,NA,NA,NA,20,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,3,PSZ1_C10_1_5,Principal,NA,NA,NA,58,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,4,PSZ1_C10_1_7,Principal,NA,NA,NA,20,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,5,PSZ1_C10_1_9,Principal,NA,NA,NA,20,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,6,PSZ1_C10_1_11,Principal,NA,NA,NA,20,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,7,PSZ1_C10_1_13,Principal,NA,NA,NA,20,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,8,PSZ1_C10_1_15,Principal,NA,NA,NA,20,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,9,PSZ1_C10_1_17,Principal,NA,NA,NA,20,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,10,PSZ1_C10_1_19,Principal,NA,NA,NA,40,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,11,PSZ1_C10_1_21,Principal,NA,NA,NA,20,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,12,PSZ1_C10_1_23,Principal,NA,NA,NA,20,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,13,PSZ1_C10_1_25,Principal,NA,NA,NA,20,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,14,PSZ1_C10_1_27,Principal,NA,NA,NA,0,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,15,PSZ1_C10_1_29,Principal,NA,NA,NA,80,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,1,PSZ1_C10_1_2,Agent,20,30,20,100,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,2,PSZ1_C10_1_4,Agent,10,0,10,110,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,3,PSZ1_C10_1_6,Agent,29,31,29,91,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,4,PSZ1_C10_1_8,Agent,10,10,10,110,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,5,PSZ1_C10_1_10,Agent,10,0,10,110,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,6,PSZ1_C10_1_12,Agent,10,0,10,110,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,7,PSZ1_C10_1_14,Agent,10,0,10,110,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,8,PSZ1_C10_1_16,Agent,10,0,10,110,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,9,PSZ1_C10_1_18,Agent,10,0,10,110,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,10,PSZ1_C10_1_20,Agent,20,30,20,100,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,11,PSZ1_C10_1_22,Agent,10,40,10,110,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,12,PSZ1_C10_1_24,Agent,10,0,10,110,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,13,PSZ1_C10_1_26,Agent,10,0,10,110,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,14,PSZ1_C10_1_28,Agent,10,0,0,120,,,,
PSZ1,LabJena,C10,PSZ1_C10_1,15,PSZ1_C10_1_30,Agent,10,40,40,80,,,,
PSZ1,LabJena,C10,PSZ1_C10_2,1,PSZ1_C10_2_1,Principal,NA,NA,NA,80,,,,
PSZ1,LabJena,C10,PSZ1_C10_2,2,PSZ1_C10_2_3,Principal,NA,NA,NA,20,,,,
PSZ1,LabJena,C10,PSZ1_C10_2,3,PSZ1_C10_2_5,Principal,NA,NA,NA,80,,,,
PSZ1,LabJena,C10,PSZ1_C10_2,4,PSZ1_C10_2_7,Principal,NA,NA,NA,30,,,,
PSZ1,LabJena,C10,PSZ1_C10_2,5,PSZ1_C10_2_9,Principal,NA,NA,NA,22,,,,
PSZ1,LabJena,C10,PSZ1_C10_2,6,PSZ1_C10_2_11,Principal,NA,NA,NA,50,,,,
PSZ1,LabJena,C10,PSZ1_C10_2,7,PSZ1_C10_2_13,Principal,NA,NA,NA,40,,,,
PSZ1,LabJena,C10,PSZ1_C10_2,8,PSZ1_C10_2_15,Principal,NA,NA,NA,20,,,,
PSZ1,LabJena,C10,PSZ1_C10_2,9,PSZ1_C10_2_17,Principal,NA,NA,NA,10,,,,
PSZ1,LabJena,C10,PSZ1_C10_2,10,PSZ1_C10_2_19,Principal,NA,NA,NA,30,,,,
PSZ1,LabJena,C10,PSZ1_C10_2,11,PSZ1_C10_2_21,Principal,NA,NA,NA,20,,,,
PSZ1,LabJena,C10,PSZ1_C10_2,12,PSZ1_C10_2_23,Principal,NA,NA,NA,0,,,,
PSZ1,LabJena,C10,PSZ1_C10_2,13,PSZ1_C10_2_25,Principal,NA,NA,NA,20,,,,
PSZ1,LabJena,C10,PSZ1_C10_2,14,PSZ1_C10_2_27,Principal,NA,NA,NA,20,,,,
