relative_path,size_bytes,extension,classification,likely_role
.dropbox,10,,archive only,other archive material
2015.04.15_morning.do,682,do,archive only,analysis code
"Admin/1314-010 Halliday, S. IRB_Approval 10-3-13.pdf",139678,pdf,archive only,other archive material
Admin/Budget_BHL.xls,35328,xls,archive only,data or experiment output
Admin/CV_Gabriel Burdin.pdf,54663,pdf,archive only,other archive material
Admin/Completion Report_ Fabio.pdf,122847,pdf,archive only,other archive material
Admin/Completion Report_Gabriel Burdin.pdf,104726,pdf,archive only,other archive material
Admin/Consent_to_Participate_Form.doc,224256,doc,archive only,other archive material
Admin/Cover Note with Changes.docx,96347,docx,archive only,other archive material
Admin/Experimental Economics Recruitment Form.docx,35658,docx,archive only,other archive material
"Admin/Halliday, S. IRB_Approval 10-3-13.pdf",139678,pdf,archive only,other archive material
Admin/IRBResearchProposalForm_halliday.docx,145736,docx,archive only,other archive material
Admin/IRBResearchProposalForm_halliday_revised_10.02.2013.docx,150660,docx,archive only,other archive material
Admin/Participant_Consent_22713.doc,73216,doc,archive only,other archive material
Admin/Participant_Consent_Smith.doc,70656,doc,archive only,other archive material
Admin/UMass_clearance.pdf,23793,pdf,archive only,other archive material
Admin/fabio_CV.doc,64512,doc,archive only,other archive material
Admin/hallidayirb.docx,150660,docx,archive only,other archive material
Admin/irb_continuation_halliday_2014.10.02.pdf,80264,pdf,archive only,other archive material
Admin/participant_consent_smith_final.doc,72704,doc,archive only,other archive material
Admin/participant_consent_smith_revised_10.02.2013.doc,72704,doc,archive only,other archive material
Admin/participant_consent_smith_revised_2014.04.24.doc,72704,doc,archive only,other archive material
Admin/umass_human_subjects.pdf,17349,pdf,archive only,other archive material
Admin/willis lab reservations_non-UMass.xlsx,32692,xlsx,archive only,data or experiment output
Azrieli_Cambers_Healy-CombinedDecisions.pdf,328493,pdf,archive only,other archive material
Book/Economics Lab - An Intensive Course in Experimental Economics.pdf,1938489,pdf,archive only,other archive material
Book/Wooldridge - Introductory Econometrics_3ed.pdf,6477575,pdf,archive only,other archive material
Budget.xlsx,9566,xlsx,archive only,data or experiment output
